original_id,aug_id,country_name,country_code,map_coordinates,url,data_source,region_name,region_code,title,description,status,stages,date,procurementMethod,budget,currency,buyer,sector,subsector
10,50f42fa3-acdd-4c17-ac6d-c4ad242a41b9,California,US-CA,"Latitude 37.59438, Longitude -121.88857",https://www.elkgrovecity.org/southeast-policy-area/development-projects,ElkGrove,"Elk Grove, California",94586,Bruceville Meadows,"Tentative subdivision map to divide 113.9&plusmn; acres into ~320 single family residential lots, one multifamily lot, a detention basin, drainage channel, two pocket parks, and various landscape lots. The Project also includes an amendment to the SEPA Strategic Plan to reduce the single family residential density.",In Review,"['Planning Commission Packet', 'Contact the Planning Department for the latest information.']",26/07/2023,Bids by Invitation,"$50,589.00","$50,589.00","Hackberry II, LLC",Construction (COFOG 1),"Single-Family Homes, Site Development"
11,123536b5-aace-41e0-80ff-f4997fb4578c,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Dominican Residential Development,Subdivision and residential development of a 21 acre site at the intersection of Magnolia Ave and Deer Park Ave,Incomplete,,,,,,Ray Cassidy,,
12,b09d6512-8af0-407b-a2e1-fc5151cd1be9,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Northgate Town Square,"Redevelopment of Northgate Mall into an open-air 'main street experience', surrounded by mixed-use development of retail and approximately 1,320 residences.",Under Review,,,,,,David Geiser,,
13,eae39b7f-c4eb-4227-950a-4d8946ddfe48,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Wildcare,"Redevelopment  Wildcare facilities with new animal hospital, educational, and animal housing facilities.",Incomplete,,,,,,Cheryl Lentini,,
14,2ccf8c6b-8480-43e5-96e0-45c53afbab47,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,50 Merrydale Apartments,Subdivision of the existing lot and a new multifamily residential building,Incomplete,,,,,,Stewart Summers,,
15,2e769d83-4bfa-41c0-9b9c-37f55162f989,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,4th and Grand Apartments,six-story multifamily residential building,SB 35 NOI,,,,,,Chris Hart,,
16,10978be3-5455-4609-85fb-9133f396f5c6,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,52 Fremont Rd: Urban Lot Split,Urban Lot Split (SB 9) to create two new lots and construct two units on each lot,SB 9Pre-App,,,,,,Millard Arterberry,,
17,a8ff9031-b8f1-4f64-aa3f-9a0453f32f16,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,88 Vivian Street,70 for sale townhomes,Approved5/10/22,,,,,,Matt Ashton,,
18,854967d3-24bc-4bbe-af2d-6d41a49bcccc,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,350 Merrydale Town Home Development,45 for-sale town homes development,Approved,,,,,,Campus PropertiesMichael Hooper,,
19,cd26a481-5c6f-4688-b48b-b11a37ccec54,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,703 3rd Mixed Use Development,"Construct a 6-story, 73'-tall, mixed-use building with 120 rental units or apartments",Approved,,,,,,Rick Williams; Van Meter Williams Pollack LLP,,
20,8e0d971e-5fb9-47c1-a8e0-13aef29e8112,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,703 3rd Street - 119 -Unit Residential,eight-story residential building,SB 35 NOI,,,,,,Jordan Sullivan,,
21,2c9c1554-4d7a-41c7-8c6d-6ebc2bbc887f,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,800 Mission Aegis (Formerly Known as 1203 Lincoln),New assisted living facility with 103 suites.,Approved12/14/21,,,,,,Geoff Forner,,
22,f60959c8-2896-48f1-a889-eefafa002f68,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,1515 Fourth Street Apartments,Seven-story mixed-use building,Planning Commission Hearing on 4/11/2023,,,,,,Vicki Romaguera,,
23,596edb14-85ed-4974-901f-7feaefc191cd,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,3301 Kerner Temporary Emergency shelter,Temporary emergency shelter to allow for the redevelopment at the existing Homeward Bound location.,Under Construction,,,,,,,,
24,f5eb0913-d054-427d-98d7-8b17fef04f18,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,AC Marriott Hotel 1201 5th Ave,"Construction of a 54 feet tall, 140-room hotel building and associated parking and landscape improvements",Approved,,,,,,1201 Fifth Avenue LLC,,
25,24d345dc-e913-44e1-924e-4358c3f61b00,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Airport Recreation Facility,,Under Review,,,,,,,,
26,815d533f-7151-4f50-abe2-62159b5b8fa6,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Aldersly: 308 & 326 Mission,Phased improvements over the next ten years on the Aldersly Campus.,Under Review,,,,,,"Peter Lin, Greenbrier",,
27,7889eba1-2950-458f-85f3-a33adcfa7c74,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,BioMarin Office Building at 755 Lindaro,"New 72,400 square foot office building and parking garage expansion.",Approved10/19/2015,,,,,,David McAdams,,
28,ced121f0-e6ba-40e1-be00-c39dab81511b,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Biomarin/Vivalon 999 3rd St,"Construct two, four-story 72' tall buildings for the purposes of laboratory/R&D and general office spaces.",Approved03/23/20,,,,,,"BioMarin, Shar Zamanpour",,
29,19affd33-7645-40a8-86f9-d32aef857d70,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Brookdale Apartments,10-Unit Multifamily Residential Apartments,Approved6/14/22,,,,,,Michael Folk,,
30,fb1d53fb-513f-4e4d-a45e-1d0c400e9b58,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Hampton Inn and Suites 1075 Francisco,"185-room hotel that includes guest rooms and guest amenities including a breakfast dining area, meeting rooms, swimming pool fitness room, guest laundry area, and market.",Approved,,,,,,Stephen Allen,,
31,f5eabc6d-4725-4aa0-945b-4d69e264d09c,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Los Gamos Apartments,Mixed Use Multi-Family Apartment Project,Approved2/7/22,,,,,,Chris Hart,,
32,d7bc25a6-ac8c-4b77-808e-4e83e9f6c25e,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Marin Academy Aquatic Center,"Replacement and relocation of aquatic center, including with a new uncovered swimming pool, a two-story support building, and site improvements",Under Construction,,,,,,Mike Joycefor Marin Academy,,
33,f8a161b4-fd2d-4ac4-b217-7ab280aeca53,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Northgate Walk - 1005 & 1010 Northgate Dr.,"Construct a new 4-story, 30-unit, residential condominium and a two (2) new 4-story, residential condominium buildings with 48 and 58 units",Approved,,,,,,"Peter Stackpole, LCA Architects(925)944-1626",,
34,2233de54-5984-4872-9ff7-202c6f7ebe3d,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Ritter Center 800 & 804 A St,Use Permit for a Major Medical Facility Use for the Ritter Center from 16 Ritter Street to an existing building at 800 A Street,Approved,,,,,,Scott Peterson(415)485-3094,,
35,f21e901c-62a5-4ad7-ba1e-a8f7ab9328ef,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Ross Street Terrace Residential,Construction of two new single family houses on vacant lots,Under Review,,,,,,Steve Carter,,
36,e416c1a1-11b2-42ab-b1a1-5e38b1d1dbfc,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,San Rafael Inn,"New 46-room, 4-story, 44’ 9”-tall boutique hotel.",Incomplete,,,,,,RYS ArchitectsRobert Sauvageau(415) 841-9090,,
37,0e8167e8-6cad-4bb8-bbc7-dc451fed9ac4,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,Tiscornia Marsh Restoration Project,Restoration of Marsh,Approved1/11/22,,,,,,Marin Audubon SocietyBarbara Salzman,,
38,ef84e24c-b0c3-4c97-8056-e6d64befd7d0,California,US-CA,,https://www.cityofsanrafael.org/major-planning-projects-2/,CityOfSanrafael,,,The Village at Loch Lomond Marina Project,Mixed Use Development,Approved8/6/07,,,,,,"Marina Villages Associates, LLCTomas DiPrima",,
39,cfdcc1d6-1ad4-47f7-a91b-bada770d122f,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Tujunga, California",,All Nations Church,Conditional Use And Land Use Variance For A 25 Acre Campus,2014 Approved Condition Compliance And Approved CUP For Church Buildings And Campus,,,,,,All Nations Church,,
40,791b4029-590d-4184-b2e5-96c4a73abba1,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup, ,,Alta Public Schools,"Services:  SMG Expedited The Process Of Going To Bond By Making Concessions With The County Of Los Angeles, County Supervisor, Treasurer And Tax Collector’s Office, And Chief Executive Officer; We Amended The Contact To Include Their Chapter 8 Properties As Part Of The Financing Agreement, Which Would Serve As Collateral When Alta Went Out To Bond For Constructing Prepa Tec Middle School.",Completed,,,,,,Alta Public Schools,,
41,45d7e8d9-aea3-47f5-9c10-66a9eda3986b,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Scattered Sites Located In Council Districts 1, 9 And 10.",,Columbia Apartments,127 Units Preservation Project,Financing Received 4% Tax Credits And Bonds 2012: City Council Approved Bond Financing And Entitlement. Construction To Commence March 2014.,,,,,,Intercontinental Affordable Housing,,
42,e07d97a6-e2a2-4357-8177-b1e46ba154c9,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Los Angeles, California",,Doheny Eye Institute,"Variance To Receive A Parking Reduction For Their 140,000 Sq. Ft. Medical Facility To Provide 178 Parking Spaces In Lieu Of 282 Parking Spaces.",Approved And Completed January 2013,,,,,,Doheny Eye Institute,,
43,64bd4bee-31fb-4984-a6ba-9d9d16e3afc8,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,Hollywood California,,Emerson College - West Coast Campus,Development Of West Coast Campus On Sunset Boulevard.,Building Completed July 2013,,,,,,Emerson College,,
44,ec455c96-b310-435c-9020-a341b3c1e13e,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Los Angeles, California",,Little Tokyo Towers,301 Units - Senior Affordable Housing,Currently Under Construction,,,,,,Little Tokyo Towers LP,,
45,8ac19737-f8a1-4ce3-81af-87fdfeab443e,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Los Angeles, California",,Olympic on Hoover Development,"173 Residential Units, 36,990 Sq. Ft. Commercial",2017 Approved Zone And Height District Change With Density Bonus 20 Units Of Very Low Income Households,,,,,,"NY Properties, LLC",,
46,66fdbbaf-8f2a-4b69-85aa-a96a70f978a2,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Sherman Oaks, Council District 4",,Orangewood Court Apartments – Value Housing,"The Orangewood Court Apartments Is An Acquisition/ Rehabilitation Of An Affordable Multi-Family Housing Development Using $11,672,500 Of Housing Department Issued Multifamily Housing Revenue Bonds.", ,,,,,,Value Housing II,,
47,e8cf4437-59b4-45b4-8611-c64e5ae66cf4,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Pacoima, California",,Pierce Park Apartments,The Pierce Park Apartments Is An Acquisition/ Rehabilitation Of A 430-Unit Affordable Multi-Family Housing Development Made Up Of Ten 2-Story Buildings.,Completed,,,,,,Pierce Park Apartment Associates,,
48,d59f0961-56e8-4212-9c0e-f2db49fa768a,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Los Angeles, California",,Rosewood Gardens,54 Unit Senior Housing: $19 Million TDC., ,,,,,,Rosewood Revitalization Group,,
49,8a5f9df6-217a-4bb7-b121-91c2e69f447e,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,Wilshire Westlake Area Of Los Angeles: 7th And Westmoreland,,Southwestern Law School,132 Unit Student Housing Development.,Financing Closed On 4th Quarter 2012: 30% Construction Completion 2013,,,,,,Southwestern Law School,,
50,c701c415-55c3-4cc9-9b02-e86a5254f84f,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Los Angeles, California",,Temple Street & Westlake Development,"248 Multifamily Units, 20,000 Sq. Ft. Commercial.",Re-Zoning And CUP Completed July 2012,,,,,,"Temp West Development, LLC.",,
51,70565c93-5218-49a2-b6b4-ada611cf5164,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Los Angeles, California",,Vintage at 7700 North Woodman Avenue,239 Multifamily Senior Affordable Housing units.,Under Construction,,,,,,"USA Properties Fund, Inc.",,
52,293ec218-58fa-4633-878e-c965bebe0c12,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,Downtown Los Angeles - 3rd & Alameda,,X Lanes Entertainment Center,"50,000 Square Feet Retail And Restaurant Establishment.",Grand Opening May 2013,,,,,,"Park Plaza, LLC.",,
53,fec5e611-e13e-4e94-848c-cd102b9c4bc1,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,"Los Angeles, California",,5530 Virginia Avenue,64 Multifamily Units,Approval In Progress To Achieve Density Bonus And FAR Increase For Transit Oriented Communities,,,,,,"B.J.K. Properties, LLC.",,
54,58617cd3-9ccc-4690-97ed-d9bcdd075ccf,California,US-CA,,https://www.santamariagroup.com/projects,SantaMariaGroup,Washington Blvd and 101 Freeway,,720 West Washington Boulevard,122 Units with 121 Affordable Housing Units and 1 Manager Unit,Completing Site Plan Review and CEQA Class 31 exemption,,,,,,WPH Holdings,,
55,1d389c42-1e77-46f2-bf7b-596ad6b4aaf4,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/santa-anita,HighwaysDotGov,"Los Angeles County, California",,Santa Anita Canyon Road,Project DescriptionThe project involves improvements at four separate sites along Santa Anita Canyon Road. Site 1 improvements consist of rock fall hazard mitigation. Site 2 improvements are for construction of a Debris Basin and drainage improvements. Site 4 improvements are roadway reconstruction and stabilization. Site 5 improvements include roadway rehabilitation. (**Note: There were originally 5 sites under design. Site 3 has been removed from the project).,In Development,,Advertise: Spring 2023Construction: Summer 2023 - Spring 2024,,,,"Project Manager:  Mike Daigler, Federal Highway Administration, USDOT",,
56,ba425152-0bd3-41a8-8467-22d879451d22,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/blue-lake,HighwaysDotGov,"Modoc County, California",,Blue Lake Road,"Project DescriptionModoc County Roads 64 and 258 (Blue Lake Road) are the primary access to the Modoc National Forest and South Warner Wilderness Area from US Route 395 at Likely, California. The purpose of this project is address the deteriorating condition on Blue Lake Road and unsafe conditions due to rockfall on County Road 64. The scope of this project will provide safety improvements along CR 64 at 2 spot locations, including rockfall hazard mitigation, and 6.5 miles of 3R (pulverize and pave) on Blue Lake Road from just south of the existing bridge over the Pit River up to turnoff for the Blue Lake Campground/South Warner Road intersection. The typical section will be 10-foot lanes and 1-foot shoulders.",In Development,,Advertise Date: Fall 2025Construction Date: Spring - Fall 2026,,,,"Project Manager:  Mike Daigler, Federal Highway Administration, USDOT",,
57,f075143e-70da-48fb-af90-3bd0a5e79919,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/monterey-bay-1,HighwaysDotGov,"Santa Cruz County, California",,North Coast Rail Trail,"Project Description
The Central Federal Lands Highway Division (CFL) of the Federal Highway Administration (FHWA), in cooperation with the Santa Cruz County Regional Transportation Commission (RTC), proposes the development of the North Coast Rail Trail Project. The project consists of 7.5 miles of multi-use trail parallel to existing railroad tracks north of the City of Santa Cruz, California. The Project would provide an accessible bicycle/pedestrian path for active transportation, recreation, and environmental and cultural education along the existing rail corridor between Wilder Ranch State Park and Davenport, CA, consistent with the Monterey Bay Sanctuary Scenic Trail (MBSST) Network Master Plan. The limits of the Project are Wilder Ranch Parking Lot on the South (rail mile post 23.6) and a private drive railroad crossing access (rail mile post 28.6) on the north side. The Project would include a paved path with striping, parallel unpaved path and/or shoulder, and parking improvements with trail connections at three locations along the alignment.",In Development,,Advertise: Fall 2023,,,,"Project Manager:  Dustin Robbins, Federal Highway Administration, USDOT",,
58,fe27ec99-bb7d-4d5c-87a5-4ae6d547728e,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/np-goga-469-1,HighwaysDotGov,"San Mateo County, California",,Golden Gate National Recreation Area China Beach Access Road,"The project includes improvements to the China Beach area, such as:Addressing the deteriorated retaining walls at China Beach Access RoadUnderground utility improvements to domestic and fire water, wastewater and lift stationParking lot including the sidewalk, entry plaza, seat walls, guard rail, signage, fencing, bike racks, grading and striping plan, accessible parking plan, planting plan, tree protection and removal plan.",In Development,,Advertise: Spring 2022Construction: Summer 2022 - Summer 2023,,,,"Project Manager:  Matt Amboziak, Federal Highway Administration, USDOT",,
59,110fe8e8-998c-4448-bb29-0efcde6f717f,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/erfo-plumas-nf-23n18-1,HighwaysDotGov,"Plumas County, California",,Frazier Creek Bridge,"The project involves replacement of the Frazier Creek Bridge on Forest Route 23N18 within Plumas National Forest in Plumas County, CA. The bridge was completely damaged by fire in 2020 and will be fully replaced with prefabricated steel bridges.",In Development,,Advertise: Winter 2022/2023Construction: Summer/Fall 2023,,,,"Project Manager:  Michael Daigler, Federal Highway Administration, USDOT",,
60,53581d1a-a001-495f-a1e7-89c0054d641a,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/ftbl-dumont-dunes-1,HighwaysDotGov,"San Bernardino County, California",,Dumont Dunes Road,"This project involved roadway rehabilitation of Dumont Dunes Road starting from the intersection with State Highway 127 and continuing east for 3.9 miles. A new road template will be established, and aggregate road base and a hot mix asphalt pavement surface course added for 3.1 miles. The 0.1 miles entrance to Little Dumont Dunes Road will have similar improvements. The last 0.75 miles of Dumont Dunes Road will be improved with aggregate road base. The staging area and the surface of the fee collection and operations area will be improved. No culverts will be added but existing roadside berms built up over years of grading will be removed to allow sheet drainage and side ditches and/or low areas in the road established where needed. The existing low water crossing will be replaced with a concrete low water crossing of approximately 250-ft in length. Roadway striping will be added to the newly paved section of road and MUTCD signs and other safety improvements investigated and designed.",In Development,,Advertise: Fall 2022Construction: Summer 2023,,,,"Project Manager:  Michael Daigler, Federal Highway Administration, USDOT",,
61,20e9ed6d-85d5-4b2e-8d51-365dd7fce8e2,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/erfo-22s01-1,HighwaysDotGov,"Monterey County, California",,Nacimiento Fergusson Road,"The Nacimiento Fergusson Road is located approximately 47 miles south of Monterey, CA. This project includes emergency repair of 13 sites damaged in a high precipitation event in January 2021, which prompted closure of the roadway. Site repairs generally include embankment construction, retaining wall construction, and culvert replacements. In January and March of 2023, two additional high precipitation events caused additional damages at 9 new sites. These new sites were added to the project to provide cost and time efficiencies.FHWA s construction contract was awarded in June of 2023 and onsite construction commenced in September. The anticipated construction completion date was extended to August of 2024 to accommodate the new damaged sites as well as to provide roadway access to local residents. There is ongoing coordination between FHWA, residents, the Los Padres National Forest, and Monterey County to ensure construction is completed in the safest, quickest, and most effective manner. Once completed, the Nacimiento Fergusson Road is expected to be open to the general public.",In Development,,Advertise: Spring 2023Construction: Summer 2023 - Summer 2024,,,,"Project Manager:  Mike Daigler, Federal Highway Administration, USDOT",,
62,564c51a4-f95a-4e52-a86f-332d7c734f1c,California,US-CA,,https://highways.dot.gov/federal-lands/projects/ca/erfo-br-2020-1-1,HighwaysDotGov,"Napa County, California",,Smittle Creek Trail Bridges,"The Smittle Creek Trail Bridges project is located along the western shore of Lake Berryessa, approximately 40 miles west of Sacramento, CA. The project includes the replacement of five pedestrian timber bridges along a narrow trail, that were destroyed in a 2020 fire. The bridge lengths vary between 16 and 26 feet.  The project scope also includes replacement of access control gate, bollards, and signs.",In Development,,Advertise: Summer 2022Construction: Fall 2023,,,,"Project Manager:  Justin Henwood, Federal Highway Administration, USDOT",,
